CANSpiN-ID,Author,Title,Reference Year
CANSpiN-deu-19_001,"Willkomm, Ernst Adolf",Weisse Sclaven oder die Leiden des Volkes,1845
CANSpiN-deu-19_002,"Auerbach, Berthold",Der Lehnhold,1854
CANSpiN-deu-19_003,"Ruppius, Otto",Der Pedlar,1857
CANSpiN-deu-19_004,"Otto, Louise",Nürnberg. Zweiter Band,1858
CANSpiN-deu-19_005,"Kurz, Hermann",Der Sonnenwirt,1854
CANSpiN-deu-19_006,"Weerth, Georg",Fragment eines Romans,1846
CANSpiN-deu-19_007,"Stifter, Adalbert",Die Mappe meines Urgroßvaters,1841
CANSpiN-deu-19_008,"Auerbach, Berthold",Der Lautenbacher,1843
CANSpiN-deu-19_009,"Ruppius, Otto",Das Vermächtnis des Pedlars,1859
CANSpiN-deu-19_010,"Aston, Louise",Lydia,1848
CANSpiN-deu-19_011,"Freytag, Gustav",Soll und Haben,1855
CANSpiN-deu-19_012,"Aston, Louise",Aus dem Leben einer Frau,1847
CANSpiN-deu-19_013,"Auerbach, Berthold",Barfüßele,1856
CANSpiN-deu-19_014,"Tieck, Ludwig",Vittoria Accorombona,1840
CANSpiN-deu-19_015,"Arnim, Bettina von",Die Günderode,1840
CANSpiN-deu-19_016,"Gerstäcker, Friedrich",Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas,1846
CANSpiN-deu-19_017,"Stifter, Adalbert",Die Narrenburg,1843
CANSpiN-deu-19_018,"Schopenhauer, Adele",Anna,1845
CANSpiN-deu-19_019,"Stifter, Adalbert",Zwei Schwestern,1846
CANSpiN-deu-19_020,"Hahn-Hahn, Ida Gräfin von",Sibylle,1846
CANSpiN-deu-19_021,"Lewald, Fanny",Jenny,1843
CANSpiN-deu-19_022,"Arnim, Bettina von",Clemens Brentanos Frühlingskranz,1844
CANSpiN-deu-19_023,"Stifter, Adalbert",Feldblumen,1841
CANSpiN-deu-19_024,"Gutzkow, Karl",Der Zauberer von Rom,1858
CANSpiN-deu-19_025,"Kürnberger, Ferdinand",Der Amerika-Müde,1855
CANSpiN-deu-19_026,"Vischer, Friedrich Theodor",Auch Einer 2,1879
CANSpiN-deu-19_027,"Ebner-Eschenbach, Marie von",Bozena,1876
CANSpiN-deu-19_028,"François, Louise von",Die letzte Reckenburgerin,1871
CANSpiN-deu-19_029,"Raabe, Wilhelm",Alte Nester,1879
CANSpiN-deu-19_030,"Freytag, Gustav",Die verlorene Handschrift,1864
CANSpiN-deu-19_031,"Raabe, Wilhelm",Der Schüdderump,1869
CANSpiN-deu-19_032,"Meyer, Conrad Ferdinand",Jürg Jenatsch,1876
CANSpiN-deu-19_033,"François, Louise von",Die Geschichte meines Urgroßvaters,1868
CANSpiN-deu-19_034,"Vischer, Friedrich Theodor",Auch Einer 1,1879
CANSpiN-deu-19_035,"Fontane, Theodor",Vor dem Sturm,1878
CANSpiN-deu-19_036,"Keller, Gottfried",Der grüne Heinrich2 [Zweite Fassung],1879
CANSpiN-deu-19_037,"Marlitt, Eugenie",Das Heideprinzeßchen,1871
CANSpiN-deu-19_038,"Raabe, Wilhelm",Der Hungerpastor,1863
CANSpiN-deu-19_039,"Spielhagen, Friedrich",Problematische Naturen. Erste Abtheilung,1861
CANSpiN-deu-19_040,"Marlitt, Eugenie",Goldelse,1866
CANSpiN-deu-19_041,"Marlitt, Eugenie",Das Geheimnis der alten Mamsell,1867
CANSpiN-deu-19_042,"Möllhausen, Balduin",Die Mandanenwaise,1865
CANSpiN-deu-19_043,"Spielhagen, Friedrich",Hammer und Amboß,1869
CANSpiN-deu-19_044,"Dahn, Felix",Kampf um Rom,1876
CANSpiN-deu-19_045,"Stifter, Adalbert",Witiko,1867
CANSpiN-deu-19_046,"Fontane, Theodor",Grete Minde,1879
CANSpiN-deu-19_047,"François, Louise von",Judith die Kluswirtin,1862
CANSpiN-deu-19_048,"Freytag, Gustav",Die Ahnen,1872
CANSpiN-deu-19_049,"Raabe, Wilhelm","Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale",1863
CANSpiN-deu-19_050,"Raabe, Wilhelm",Abu Telfan oder Die Heimkehr vom Mondgebirge,1867
CANSpiN-deu-19_051,"Fontane, Theodor",Unterm Birnbaum,1885
CANSpiN-deu-19_052,"Spyri, Johanna",Heidis Lehr- und Wanderjahre,1880
CANSpiN-deu-19_053,"Fontane, Theodor",Graf Petöfy,1884
CANSpiN-deu-19_054,"May, Karl",Am Jenseits,1899
CANSpiN-deu-19_055,"Bahr, Hermann",Die gute Schule,1890
CANSpiN-deu-19_056,"Conradi, Hermann",Adam Mensch,1889
CANSpiN-deu-19_057,"Dohm, Hedwig",Sibilla Dalmar,1896
CANSpiN-deu-19_058,"Ebner-Eschenbach, Marie von","Lotti, die Uhrmacherin",1880
CANSpiN-deu-19_059,"Fontane, Theodor","Irrungen, Wirrungen",1887
CANSpiN-deu-19_060,"Janitschek, Maria",Die Amazonenschlacht,1897
CANSpiN-deu-19_061,"Bleibtreu, Karl",Größenwahn,1888
CANSpiN-deu-19_062,"Polenz, Wilhelm von",Der Büttnerbauer,1895
CANSpiN-deu-19_063,"Dohm, Hedwig",Wie Frauen werden,1894
CANSpiN-deu-19_064,"Christen, Ada",Jungfer Mutter,1892
CANSpiN-deu-19_065,"Spielhagen, Friedrich",Zum Zeitvertreib,1897
CANSpiN-deu-19_066,"Fontane, Theodor",Der Stechlin,1897
CANSpiN-deu-19_067,"Ganghofer, Ludwig",Schloß Hubertus,1895
CANSpiN-deu-19_068,"Spitteler, Carl",Conrad,1898
CANSpiN-deu-19_069,"Kretzer, Max",Meister Timpe,1888
CANSpiN-deu-19_070,"Fontane, Theodor",Schach von Wuthenow,1882
CANSpiN-deu-19_071,"Fontane, Theodor",Cécile,1887
CANSpiN-deu-19_072,"Raabe, Wilhelm",Im alten Eisen,1887
CANSpiN-deu-19_073,"Dohm, Hedwig",Schicksale einer Seele,1899
CANSpiN-deu-19_074,"Boy-Ed, Ida",Fanny Förster,1889
CANSpiN-deu-19_075,"Janitschek, Maria",Ninive,1896
CANSpiN-deu-19_076,"Wassermann, Jakob",Caspar Hauser,1907
CANSpiN-deu-19_077,"Reventlow, Franziska Gräfin zu",Ellen Olestjerne,1903
CANSpiN-deu-19_078,"Essig, Hermann",Der Taifun,1862
CANSpiN-deu-19_079,"Rilke, Rainer Maria",Die Aufzeichnungen des Malte Laurids Brigge,1910
CANSpiN-deu-19_080,"Keyserling, Eduard von",Dumala,1907
CANSpiN-deu-19_081,"May, Karl",Und Friede auf Erden!,1904
CANSpiN-deu-19_082,"Braun, Lily",Lebenssucher,1915
CANSpiN-deu-19_083,"Sack, Gustav",Paralyse,1914
CANSpiN-deu-19_084,"May, Karl",Ardistan und Dschinnistan II,1909
CANSpiN-deu-19_085,"Ganghofer, Ludwig",Der Ochsenkrieg,1914
CANSpiN-deu-19_086,"Meysenbug, Malwida Freiin von",Himmlische und irdische Liebe,1905
CANSpiN-deu-19_087,"Heyking, Elisabeth von","Briefe, die ihn nicht erreichten",1903
CANSpiN-deu-19_088,"Fontane, Theodor",Mathilde Möhring,1906
CANSpiN-deu-19_089,"Wille, Bruno",Die Abendburg,1909
CANSpiN-deu-19_090,"Reventlow, Franziska Gräfin zu",Von Paul zu Pedro,1912
CANSpiN-deu-19_091,"Schnitzler, Arthur",Casanovas Heimfahrt,1918
CANSpiN-deu-19_092,"Sudermann, Hermann",Jons und Erdme,1917
CANSpiN-deu-19_093,"Christ, Lena",Madam Bäurin,1920
CANSpiN-deu-19_094,"Schnitzler, Arthur",Der Weg ins Freie,1907
CANSpiN-deu-19_095,"Ball, Hugo",Flammetti,1918
CANSpiN-deu-19_096,"Meyrink, Gustav",Der Golem,1915
CANSpiN-deu-19_097,"Keyserling, Eduard von",Wellen,1911
CANSpiN-deu-19_098,"Reventlow, Franziska Gräfin zu",Herrn Dames Aufzeichnungen,1913
CANSpiN-deu-19_099,"Christ, Lena",Mathias Bichler,1914
CANSpiN-deu-19_100,"Ebner-Eschenbach, Marie von",Agave,1903
